Annotator,Document ID,Shared? ,SentNum,Sent
1,wsj_0073.mrg,N,5,"Hallwood , a Cleveland merchant bank , owns about 11 % of Integra ."
1,wsj_0043.mrg,N,0,Japanese investment in Southeast Asia is propelling the region toward economic integration .
1,wsj_0043.mrg,N,4,"In the past five years , Japanese companies have tripled their commitments in Asia to $ 5.57 billion *U* ."
1,wsj_0043.mrg,N,5,"In Thailand , for example , the government 's Board of Investment approved $ 705.6 million *U* of Japanese investment *ICH*-1 in 1988 , 10 times the U.S. investment figure for the year ."
1,wsj_0043.mrg,N,6,Japan 's commitment in Southeast Asia also includes steep increases in foreign assistance and trade .
1,wsj_0043.mrg,N,15,Japan 's swelling investment in Southeast Asia is part of its economic evolution .
1,wsj_0043.mrg,N,16,"In the past decade , Japanese manufacturers concentrated on domestic production for export ."
1,wsj_0043.mrg,N,27,"Participants will include the U.S. , Australia , Canada , Japan , South Korea and New Zealand as well as the six members of the Association of Southeast Asian Nations -- Thailand , Malaysia , Singapore , Indonesia , the Philippines and Brunei ."
1,wsj_0043.mrg,N,32,But * maintaining U.S. influence will be difficult in the face of Japanese dominance in the region .
1,wsj_0043.mrg,N,34,"Moreover , the Japanese government , now the world 's largest aid donor , is pumping far more assistance *ICH*-2 into the region than the U.S. is *?* ."
1,wsj_0043.mrg,N,37,"`` If they approach it with a benevolent , altruistic attitude , there will be a net gain for everyone . ''"
1,wsj_0043.mrg,N,40,Many Asians regard a U.S. presence as a desirable counterweight to Japanese influence .
1,wsj_0092.mrg,N,3,The company 's work force will fall to about 400 people .
1,wsj_0092.mrg,N,11,"In New York Stock Exchange composite trading yesterday , NBI common closed at 93 cents a share , up 31 cents ."
1,wsj_0018.mrg,N,1,"Not only is development of the new company 's initial machine tied *-1 directly to Mr. Cray , so is *T*-2 its balance sheet ."
1,wsj_0018.mrg,N,7,"`` The theory is that Seymour is the chief designer of the Cray-3 , and without him it could not be completed *-20 ."
1,wsj_0018.mrg,N,10,But Mr. Barnum called that `` a worst-case '' scenario .
1,wsj_0018.mrg,N,14,"`` Cray Computer will be a concept stock , '' he said *T*-1 ."
1,wsj_0018.mrg,N,15,`` You either believe 0 Seymour can do it again or you do n't *?* . ''
1,wsj_0018.mrg,N,16,"Besides the designer 's age , other risk factors for Mr. Cray 's new company include the Cray-3 's tricky , unproven chip technology ."
1,wsj_0018.mrg,N,18,"In addition , the Cray-3 will contain 16 processors -- twice as many as the largest current supercomputer ."
1,wsj_0018.mrg,N,20,"The spinoff also will compete with International Business Machines Corp. and Japan 's Big Three -- Hitachi Ltd. , NEC Corp. and Fujitsu Ltd ."
1,wsj_0018.mrg,N,23,No price for the new shares has been set *-23 .
1,wsj_0018.mrg,N,26,Analysts calculate Cray Computer 's initial book value at about $ 4.75 *U* a share .
1,wsj_0018.mrg,N,33,"At Cray Computer , he will be paid *-26 $ 240,000 *U* ."
1,wsj_0018.mrg,N,34,"Besides Messrs. Cray and Barnum , other senior management at the company includes Neil Davenport , 47 , president and chief executive officer ; Joseph M. Blanchard , 37 , vice president , engineering ; Malcolm A. Hammerton , 40 , vice president , software ; and Douglas R. Wheeland , 45 , vice president , hardware ."
1,wsj_0018.mrg,N,35,All came from Cray Research .
1,wsj_0158.mrg,N,5,"`` There is no business reason for my departure , '' nor any disagreement over policy , he added 0 *T*-1 ."
1,wsj_0158.mrg,N,7,Mr. Reupke was one of three executives on Reuters 's eight-person executive committee who *T*-1 did n't also serve on the company 's board of directors .
1,wsj_0158.mrg,N,12,"On London 's Stock Exchange , Reuters shares rose five pence to 913 pence -LRB- $ 14.43 *U* -RRB- ."
1,wsj_0158.mrg,N,14,"The senior of the three executives who *T*-1 will assume Mr. Reupke 's duties is Nigel Judah , 58 , finance director and a Reuters board director ."
1,wsj_0158.mrg,N,15,"Peter Holland , 45 , deputy general manager , becomes director of corporate affairs ."
1,wsj_0158.mrg,N,16,"And Patrick Mannix , 46 , international technical manager , becomes director of group quality programs ."
1,wsj_0162.mrg,N,3,Standard & Poor 's 500-Stock Index added 0.84 to 341.20 ; the rise was equivalent to a gain of about six points in the industrial average .
