Annotator,Document ID,SentNum,Sentence
1,wsj_0073.mrg,5,"Hallwood , a Cleveland merchant bank , owns about 11 % of Integra ."
1,wsj_0043.mrg,0,Japanese investment in Southeast Asia is propelling the region toward economic integration .
1,wsj_0043.mrg,4,"In the past five years , Japanese companies have tripled their commitments in Asia to $ 5.57 billion *U* ."
1,wsj_0043.mrg,5,"In Thailand , for example , the government 's Board of Investment approved $ 705.6 million *U* of Japanese investment *ICH*-1 in 1988 , 10 times the U.S. investment figure for the year ."
1,wsj_0043.mrg,6,Japan 's commitment in Southeast Asia also includes steep increases in foreign assistance and trade .
1,wsj_0043.mrg,15,Japan 's swelling investment in Southeast Asia is part of its economic evolution .
1,wsj_0043.mrg,16,"In the past decade , Japanese manufacturers concentrated on domestic production for export ."
1,wsj_0043.mrg,27,"Participants will include the U.S. , Australia , Canada , Japan , South Korea and New Zealand as well as the six members of the Association of Southeast Asian Nations -- Thailand , Malaysia , Singapore , Indonesia , the Philippines and Brunei ."
1,wsj_0043.mrg,32,But * maintaining U.S. influence will be difficult in the face of Japanese dominance in the region .
1,wsj_0043.mrg,34,"Moreover , the Japanese government , now the world 's largest aid donor , is pumping far more assistance *ICH*-2 into the region than the U.S. is *?* ."
1,wsj_0043.mrg,37,"`` If they approach it with a benevolent , altruistic attitude , there will be a net gain for everyone . ''"
1,wsj_0043.mrg,40,Many Asians regard a U.S. presence as a desirable counterweight to Japanese influence .
1,wsj_0092.mrg,3,The company 's work force will fall to about 400 people .
1,wsj_0092.mrg,11,"In New York Stock Exchange composite trading yesterday , NBI common closed at 93 cents a share , up 31 cents ."
1,wsj_0018.mrg,1,"Not only is development of the new company 's initial machine tied *-1 directly to Mr. Cray , so is *T*-2 its balance sheet ."
1,wsj_0018.mrg,7,"`` The theory is that Seymour is the chief designer of the Cray-3 , and without him it could not be completed *-20 ."
1,wsj_0018.mrg,10,But Mr. Barnum called that `` a worst-case '' scenario .
1,wsj_0018.mrg,14,"`` Cray Computer will be a concept stock , '' he said *T*-1 ."
1,wsj_0018.mrg,15,`` You either believe 0 Seymour can do it again or you do n't *?* . ''
1,wsj_0018.mrg,16,"Besides the designer 's age , other risk factors for Mr. Cray 's new company include the Cray-3 's tricky , unproven chip technology ."
1,wsj_0018.mrg,18,"In addition , the Cray-3 will contain 16 processors -- twice as many as the largest current supercomputer ."
1,wsj_0018.mrg,20,"The spinoff also will compete with International Business Machines Corp. and Japan 's Big Three -- Hitachi Ltd. , NEC Corp. and Fujitsu Ltd ."
1,wsj_0018.mrg,23,No price for the new shares has been set *-23 .
1,wsj_0018.mrg,26,Analysts calculate Cray Computer 's initial book value at about $ 4.75 *U* a share .
1,wsj_0018.mrg,33,"At Cray Computer , he will be paid *-26 $ 240,000 *U* ."
1,wsj_0018.mrg,34,"Besides Messrs. Cray and Barnum , other senior management at the company includes Neil Davenport , 47 , president and chief executive officer ; Joseph M. Blanchard , 37 , vice president , engineering ; Malcolm A. Hammerton , 40 , vice president , software ; and Douglas R. Wheeland , 45 , vice president , hardware ."
1,wsj_0018.mrg,35,All came from Cray Research .
1,wsj_0158.mrg,5,"`` There is no business reason for my departure , '' nor any disagreement over policy , he added 0 *T*-1 ."
1,wsj_0158.mrg,7,Mr. Reupke was one of three executives on Reuters 's eight-person executive committee who *T*-1 did n't also serve on the company 's board of directors .
1,wsj_0158.mrg,12,"On London 's Stock Exchange , Reuters shares rose five pence to 913 pence -LRB- $ 14.43 *U* -RRB- ."
1,wsj_0158.mrg,14,"The senior of the three executives who *T*-1 will assume Mr. Reupke 's duties is Nigel Judah , 58 , finance director and a Reuters board director ."
1,wsj_0158.mrg,15,"Peter Holland , 45 , deputy general manager , becomes director of corporate affairs ."
1,wsj_0158.mrg,16,"And Patrick Mannix , 46 , international technical manager , becomes director of group quality programs ."
1,wsj_0162.mrg,3,Standard & Poor 's 500-Stock Index added 0.84 to 341.20 ; the rise was equivalent to a gain of about six points in the industrial average .
1,wsj_0162.mrg,6,"Big Board volume amounted to 154,240,000 shares , down from 176.1 million Tuesday ."
1,wsj_0162.mrg,22,Mr. Trump withdrew a $ 120-a-share *U* bid last month .
1,wsj_0162.mrg,23,UAL rose 1 1\/2 to 177 .
1,wsj_0162.mrg,33,Santa Fe Pacific dropped 1 1\/8 to 17 3\/4 .
1,wsj_0162.mrg,35,GenCorp tumbled 2 to 14 .
1,wsj_0162.mrg,37,Allergan went up 1\/2 to 19 3\/8 .
1,wsj_0162.mrg,39,The American Stock Exchange Market Value Index gained 1.56 to 372.14 .
1,wsj_0162.mrg,40,"Volume totaled 11,390,000 shares ."
1,wsj_0162.mrg,41,Old Spaghetti Warehouse rose 1 to 16 1\/8 .
1,wsj_0162.mrg,42,Its net income for the September quarter rose about 41 % from a year ago .
1,wsj_0062.mrg,9,"Campbell Soup , for one , is furious 0 its Souper Combo microwave product was chastised *-79 in the premiere `` In the Dumpster '' column ."
1,wsj_0062.mrg,15,"He admits , though , 0 it is n't one of Campbell Soup 's better products in terms of recyclability ."
1,wsj_0062.mrg,24,Individual copies of the magazine sell for $ 2.95 *U* and yearly subscriptions cost $ 21 *U* .
1,wsj_0062.mrg,38,"CoreStates Financial Corp. , Philadelphia , named Earle Palmer Brown & Spiro , Philadelphia , as agency of record for its $ 5 million *U* account ."
1,wsj_0062.mrg,39,"The business had been handled *-86 by VanSant Dugdale , Baltimore ."
